"scenario","year","gwp_t"
"1: On Farm Measures (Organic)",2058,47.6942395561333
"1: On Farm Measures (Organic)",2059,47.4840298813632
"1: On Farm Measures (Organic)",2060,50.91273643976
"1: On Farm Measures (Organic)",2061,51.2858415007317
"1: On Farm Measures (Organic)",2062,52.1181013536947
"1: On Farm Measures (Organic)",2063,52.6419884174576
"1: On Farm Measures (Organic)",2064,53.1007545289367
"1: On Farm Measures (Organic)",2065,55.3146983625676
"1: On Farm Measures (Organic)",2066,55.8460041969835
"1: On Farm Measures (Organic)",2067,54.0341448045696
"1: On Farm Measures (Organic)",2068,54.3824369163354
"1: On Farm Measures (Organic)",2069,54.5599889586628
"1: On Farm Measures (Organic)",2070,54.755520939714
"1: On Farm Measures (Organic)",2071,55.3209366414564
"1: On Farm Measures (Organic)",2072,55.4868833282049
"1: On Farm Measures (Organic)",2073,55.7233073250867
"1: On Farm Measures (Organic)",2074,55.7985265096078
"1: On Farm Measures (Organic)",2075,55.9456295535212
"1: On Farm Measures (Organic)",2076,55.9831041976398
"1: On Farm Measures (Organic)",2077,54.5706014259149
"1: On Farm Measures (Organic)",2078,54.7114474017218
"1: On Farm Measures (Organic)",2079,54.7723634250969
"1: On Farm Measures (Organic)",2080,57.0842868930862
"1: On Farm Measures (Organic)",2081,57.6243826942466
"1: On Farm Measures (Organic)",2082,57.7702672797089
"1: On Farm Measures (Organic)",2083,58.3079377367757
"1: On Farm Measures (Organic)",2084,58.8245861759313
"1: On Farm Measures (Organic)",2085,59.1911240708598
"1: On Farm Measures (Organic)",2086,58.8063433837497
"1: On Farm Measures (Organic)",2087,58.7911017015669
"1: On Farm Measures (Organic)",2088,58.930060884638
"1: On Farm Measures (Organic)",2089,59.2497170090157
"1: On Farm Measures (Organic)",2090,59.3478054771248
"1: On Farm Measures (Organic)",2091,59.4657755227259
"1: On Farm Measures (Organic)",2092,59.5955205303801
"1: On Farm Measures (Organic)",2093,60.4635257838908
"1: On Farm Measures (Organic)",2094,61.3543756276834
"1: On Farm Measures (Organic)",2095,59.7382016078027
"1: On Farm Measures (Organic)",2096,59.4076217565751
"1: On Farm Measures (Organic)",2097,59.2230819468953
"1: On Farm Measures (Organic)",2098,59.0281142784827
"1: On Farm Measures (Organic)",2099,59.0051788090853
"1: On Farm Measures (Organic)",2100,56.5126947734983
"2: On Farm Measures (Balanced)",2015,59.4356711184398
"2: On Farm Measures (Balanced)",2016,59.931818782512
"2: On Farm Measures (Balanced)",2017,63.087755257191
"2: On Farm Measures (Balanced)",2018,63.4695406557631
"2: On Farm Measures (Balanced)",2019,64.0842367040452
"2: On Farm Measures (Balanced)",2020,64.8981109769597
"2: On Farm Measures (Balanced)",2021,65.3510600362971
"2: On Farm Measures (Balanced)",2022,64.7237171066556
"2: On Farm Measures (Balanced)",2023,64.1331282322996
"2: On Farm Measures (Balanced)",2024,63.4175500583822
