"scenario","year","category","kcal"
"5: NBS",2035,"Animal-based products",14.3848938947839
"5: NBS",2035,"Plant-based products",49.431235993889
"5: NBS",2040,"Animal-based products",13.567235129895
"5: NBS",2040,"Plant-based products",48.083978281057
"5: NBS",2045,"Animal-based products",12.8486260748656
"5: NBS",2045,"Plant-based products",46.6759828820713
"5: NBS",2050,"Animal-based products",12.087236588246
"5: NBS",2050,"Plant-based products",44.8818542596373
"6: NBS with biomass crops",2015,"Animal-based products",16.3145191107946
"6: NBS with biomass crops",2015,"Plant-based products",54.3571814378221
"6: NBS with biomass crops",2020,"Animal-based products",16.2326240340619
"6: NBS with biomass crops",2020,"Plant-based products",54.1439080550709
"6: NBS with biomass crops",2025,"Animal-based products",15.7274509635776
"6: NBS with biomass crops",2025,"Plant-based products",52.1986544839905
"6: NBS with biomass crops",2030,"Animal-based products",15.0578872754313
"6: NBS with biomass crops",2030,"Plant-based products",50.1729760404963
"6: NBS with biomass crops",2035,"Animal-based products",14.2497642480109
"6: NBS with biomass crops",2035,"Plant-based products",48.5347660475086
"6: NBS with biomass crops",2040,"Animal-based products",13.3526819036532
"6: NBS with biomass crops",2040,"Plant-based products",46.6604280984543
"6: NBS with biomass crops",2045,"Animal-based products",12.5547201316324
"6: NBS with biomass crops",2045,"Plant-based products",44.7245878626755
"6: NBS with biomass crops",2050,"Animal-based products",11.7138491390984
"6: NBS with biomass crops",2050,"Plant-based products",42.401654826249
"7: NBS with organic farming",2015,"Animal-based products",16.3145191107946
"7: NBS with organic farming",2015,"Plant-based products",54.3571814378221
"7: NBS with organic farming",2020,"Animal-based products",16.2326240340619
"7: NBS with organic farming",2020,"Plant-based products",54.1439080550709
"7: NBS with organic farming",2025,"Animal-based products",15.5157799865562
"7: NBS with organic farming",2025,"Plant-based products",50.8595841845384
"7: NBS with organic farming",2030,"Animal-based products",14.6801423569838
"7: NBS with organic farming",2030,"Plant-based products",47.8686843418578
"7: NBS with organic farming",2035,"Animal-based products",13.7368491691279
"7: NBS with organic farming",2035,"Plant-based products",45.4251580014766
"7: NBS with organic farming",2040,"Animal-based products",12.9524177010537
"7: NBS with organic farming",2040,"Plant-based products",44.1926478969962
"7: NBS with organic farming",2045,"Animal-based products",12.2618664792525
