"scenario","lcm_from","lcm_to","area"
"2: On Farm Measures (Balanced)","Semi-natural grassland","Semi-natural grassland",1827034.0625
"2: On Farm Measures (Balanced)","Urban and suburban","Urban and suburban",1705801.625
"3: Balanced Pathway","Arable and horticulture","Arable and horticulture",4309402.0625
"3: Balanced Pathway","Arable and horticulture","Arable and horticulture (agroforestry)",329871.25
"3: Balanced Pathway","Arable and horticulture","Biomass crops",469990.125
"3: Balanced Pathway","Arable and horticulture","Bog",8235
"3: Balanced Pathway","Arable and horticulture","Broadleaved woodland",134522.4375
"3: Balanced Pathway","Arable and horticulture","Coniferous woodland",78014.1875
"3: Balanced Pathway","Arable and horticulture","Fen, marsh & swamp",37778.375
"3: Balanced Pathway","Arable and horticulture","Paludiculture",27535.5625
"3: Balanced Pathway","Arable and horticulture","Urban and suburban",151162.5625
"3: Balanced Pathway","Bog","Bog",1083227.5
"3: Balanced Pathway","Bog","Broadleaved woodland",3079.9375
"3: Balanced Pathway","Bog","Coniferous woodland",3077.5
"3: Balanced Pathway","Broadleaved woodland","Broadleaved woodland",1614906.1875
"3: Balanced Pathway","Coastal","Coastal",388057.875
"3: Balanced Pathway","Coniferous woodland","Bog",49089.625
"3: Balanced Pathway","Coniferous woodland","Coniferous woodland",1711123.75
"3: Balanced Pathway","Coniferous woodland","Fen, marsh & swamp",6755.5625
"3: Balanced Pathway","Fen, marsh & swamp","Broadleaved woodland",122.9375
"3: Balanced Pathway","Fen, marsh & swamp","Coniferous woodland",38.875
"3: Balanced Pathway","Fen, marsh & swamp","Fen, marsh & swamp",166472.8125
"3: Balanced Pathway","Freshwater","Freshwater",312163.0625
"3: Balanced Pathway","Heather","Bog",995020.5625
"3: Balanced Pathway","Heather","Broadleaved woodland",46799.6875
"3: Balanced Pathway","Heather","Coniferous woodland",40803.5
"3: Balanced Pathway","Heather","Fen, marsh & swamp",130636.4375
"3: Balanced Pathway","Heather","Heather",1481468.8125
"3: Balanced Pathway","Improved grassland","Biomass crops",234978.9375
"3: Balanced Pathway","Improved grassland","Bog",38980.375
"3: Balanced Pathway","Improved grassland","Broadleaved woodland",615638.25
"3: Balanced Pathway","Improved grassland","Coniferous woodland",304455.125
"3: Balanced Pathway","Improved grassland","Fen, marsh & swamp",28294.125
"3: Balanced Pathway","Improved grassland","Improved grassland",4972758.375
"3: Balanced Pathway","Improved grassland","Improved grassland (agroforestry)",499841.1875
"3: Balanced Pathway","Improved grassland","Urban and suburban",309870.625
"3: Balanced Pathway","Inland rock","Inland rock",126968.75
"3: Balanced Pathway","Saltmarsh","Saltmarsh",71372.875
"3: Balanced Pathway","Semi-natural grassland","Bog",310264
"3: Balanced Pathway","Semi-natural grassland","Broadleaved woodland",125139.3125
"3: Balanced Pathway","Semi-natural grassland","Coniferous woodland",115923.1875
"3: Balanced Pathway","Semi-natural grassland","Fen, marsh & swamp",74371.1875
"3: Balanced Pathway","Semi-natural grassland","Semi-natural grassland",1611299
"3: Balanced Pathway","Urban and suburban","Urban and suburban",1705801.625
"4: Widespread Engagement","Arable and horticulture","Arable and horticulture",4370129.8125
"4: Widespread Engagement","Arable and horticulture","Arable and horticulture (agroforestry)",329868.75
"4: Widespread Engagement","Arable and horticulture","Biomass crops",234988.5
"4: Widespread Engagement","Arable and horticulture","Bog",8235
"4: Widespread Engagement","Arable and horticulture","Broadleaved woodland",238099.9375
"4: Widespread Engagement","Arable and horticulture","Coniferous woodland",148713.0625
"4: Widespread Engagement","Arable and horticulture","Fen, marsh & swamp",37778.375
"4: Widespread Engagement","Arable and horticulture","Paludiculture",27535.5625
"4: Widespread Engagement","Arable and horticulture","Urban and suburban",151162.5625
"4: Widespread Engagement","Bog","Bog",1082282.6875
"4: Widespread Engagement","Bog","Broadleaved woodland",3648.5625
"4: Widespread Engagement","Bog","Coniferous woodland",3453.6875
"4: Widespread Engagement","Broadleaved woodland","Broadleaved woodland",1614906.1875
"4: Widespread Engagement","Coastal","Coastal",388057.875
"4: Widespread Engagement","Coniferous woodland","Bog",49089.625
"4: Widespread Engagement","Coniferous woodland","Coniferous woodland",1711123.75
"4: Widespread Engagement","Coniferous woodland","Fen, marsh & swamp",6755.5625
"4: Widespread Engagement","Fen, marsh & swamp","Broadleaved woodland",110.25
"4: Widespread Engagement","Fen, marsh & swamp","Coniferous woodland",115.5625
"4: Widespread Engagement","Fen, marsh & swamp","Fen, marsh & swamp",166408.8125
"4: Widespread Engagement","Freshwater","Freshwater",312163.0625
"4: Widespread Engagement","Heather","Bog",995020.5625
"4: Widespread Engagement","Heather","Broadleaved woodland",54600.75
"4: Widespread Engagement","Heather","Coniferous woodland",37833.25
"4: Widespread Engagement","Heather","Fen, marsh & swamp",130636.4375
"4: Widespread Engagement","Heather","Heather",1476638
"4: Widespread Engagement","Improved grassland","Bog",38980.375
"4: Widespread Engagement","Improved grassland","Broadleaved woodland",874119.875
"4: Widespread Engagement","Improved grassland","Coniferous woodland",435237.125
"4: Widespread Engagement","Improved grassland","Fen, marsh & swamp",28294.125
"4: Widespread Engagement","Improved grassland","Improved grassland",4568483.25
"4: Widespread Engagement","Improved grassland","Improved grassland (agroforestry)",749831.625
"4: Widespread Engagement","Improved grassland","Urban and suburban",309870.625
"4: Widespread Engagement","Inland rock","Inland rock",126968.75
"4: Widespread Engagement","Saltmarsh","Saltmarsh",71372.875
"4: Widespread Engagement","Semi-natural grassland","Bog",310264
"4: Widespread Engagement","Semi-natural grassland","Broadleaved woodland",142960.5
"4: Widespread Engagement","Semi-natural grassland","Coniferous woodland",116921.8125
"4: Widespread Engagement","Semi-natural grassland","Fen, marsh & swamp",74371.1875
"4: Widespread Engagement","Semi-natural grassland","Semi-natural grassland",1592479.1875
"4: Widespread Engagement","Urban and suburban","Urban and suburban",1705801.625
"5: NBS","Arable and horticulture","Arable and horticulture",4351409.375
"5: NBS","Arable and horticulture","Arable and horticulture (agroforestry)",329892.9375
"5: NBS","Arable and horticulture","Bog",11203.5
"5: NBS","Arable and horticulture","Broadleaved woodland",261398.1875
"5: NBS","Arable and horticulture","Coniferous woodland",203850
"5: NBS","Arable and horticulture","Fen, marsh & swamp",80535.9375
"5: NBS","Arable and horticulture","Paludiculture",91425.5
"5: NBS","Arable and horticulture","Saltmarsh",5726.25
"5: NBS","Arable and horticulture","Semi-natural grassland",59907.3125
"5: NBS","Arable and horticulture","Urban and suburban",151162.5625
"5: NBS","Bog","Bog",1081821.6875
"5: NBS","Bog","Broadleaved woodland",2538.75
"5: NBS","Bog","Coniferous woodland",5018
"5: NBS","Bog","Saltmarsh",6.5
"5: NBS","Broadleaved woodland","Broadleaved woodland",1614366.9375
"5: NBS","Broadleaved woodland","Saltmarsh",539.25
"5: NBS","Coastal","Coastal",388057.875
"5: NBS","Coniferous woodland","Bog",219943.0625
"5: NBS","Coniferous woodland","Coniferous woodland",1517586.4375
"5: NBS","Coniferous woodland","Fen, marsh & swamp",29326.6875
"5: NBS","Coniferous woodland","Saltmarsh",112.75
"5: NBS","Fen, marsh & swamp","Broadleaved woodland",159.625
"5: NBS","Fen, marsh & swamp","Coniferous woodland",86.1875
"5: NBS","Fen, marsh & swamp","Fen, marsh & swamp",165653.3125
"5: NBS","Fen, marsh & swamp","Saltmarsh",735.5
"5: NBS","Freshwater","Freshwater",311788.125
"5: NBS","Freshwater","Saltmarsh",374.9375
"5: NBS","Heather","Bog",995020.5625
"5: NBS","Heather","Broadleaved woodland",37332.5625
"5: NBS","Heather","Coniferous woodland",56819.3125
"5: NBS","Heather","Fen, marsh & swamp",130636.4375
"5: NBS","Heather","Heather",1441377.875
"5: NBS","Heather","Saltmarsh",216.3125
"5: NBS","Heather","Semi-natural wood pasture",33325.9375
"5: NBS","Improved grassland","Bog",57357.125
"5: NBS","Improved grassland","Broadleaved woodland",883704.25
"5: NBS","Improved grassland","Coniferous woodland",569432.8125
"5: NBS","Improved grassland","Fen, marsh & swamp",42481.375
"5: NBS","Improved grassland","Improved grassland",4017627.5
"5: NBS","Improved grassland","Improved grassland (agroforestry)",749889.1875
"5: NBS","Improved grassland","Paludiculture",33570.875
"5: NBS","Improved grassland","Saltmarsh",1862.1875
"5: NBS","Improved grassland","Semi-natural grassland",119828.625
"5: NBS","Improved grassland","Semi-natural wood pasture",219192.4375
"5: NBS","Improved grassland","Urban and suburban",309870.625
"5: NBS","Inland rock","Inland rock",126968.6875
"5: NBS","Inland rock","Saltmarsh",0.0625
"5: NBS","Saltmarsh","Saltmarsh",71372.875
"5: NBS","Semi-natural grassland","Bog",310264
"5: NBS","Semi-natural grassland","Broadleaved woodland",129071.625
"5: NBS","Semi-natural grassland","Coniferous woodland",134705.0625
"5: NBS","Semi-natural grassland","Fen, marsh & swamp",74371.1875
"5: NBS","Semi-natural grassland","Saltmarsh",4630.75
"5: NBS","Semi-natural grassland","Semi-natural grassland",1506650.4375
"5: NBS","Semi-natural grassland","Semi-natural wood pasture",77303.625
"5: NBS","Urban and suburban","Saltmarsh",165
"5: NBS","Urban and suburban","Urban and suburban",1705636.625
"6: NBS with biomass crops","Arable and horticulture","Arable and horticulture",4116419.875
