"scenario","lcm_from","lcm_to","area"
"8: NBS extra","Improved grassland","Semi-natural wood pasture",387913.0625
"8: NBS extra","Improved grassland","Urban and suburban",309870.625
"8: NBS extra","Inland rock","Inland rock",126968.6875
"8: NBS extra","Inland rock","Saltmarsh",0.0625
"8: NBS extra","Saltmarsh","Saltmarsh",71372.875
"8: NBS extra","Semi-natural grassland","Bog",310264
"8: NBS extra","Semi-natural grassland","Broadleaved woodland",129071.625
"8: NBS extra","Semi-natural grassland","Coniferous woodland",134705.0625
"8: NBS extra","Semi-natural grassland","Fen, marsh & swamp",74371.1875
"8: NBS extra","Semi-natural grassland","Saltmarsh",4630.75
"8: NBS extra","Semi-natural grassland","Semi-natural grassland",1505761.75
"8: NBS extra","Semi-natural grassland","Semi-natural wood pasture",78192.3125
"8: NBS extra","Urban and suburban","Saltmarsh",165
"8: NBS extra","Urban and suburban","Urban and suburban",1705636.625
